seed,strategy,frame_stage,road_sign_present,road_sign_position_consistent,road_sign_appearance_consistent,scene_quality,artifact_level,overall_preference,reviewer_notes,review_type,reviewer_id,review_status,reviewed_at
1,no_memory_baseline_selected,early,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
1,no_memory_baseline_selected,middle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
1,no_memory_baseline_selected,late,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
2,candidate_pool_review,early,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
2,candidate_pool_review,middle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
2,candidate_pool_review,late,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
3,candidate_pool_review,early,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
3,candidate_pool_review,middle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
3,candidate_pool_review,late,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
4,candidate_pool_review,early,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
4,candidate_pool_review,middle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
4,candidate_pool_review,late,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
5,candidate_pool_review,early,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
5,candidate_pool_review,middle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
5,candidate_pool_review,late,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
6,candidate_pool_review,early,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
6,candidate_pool_review,middle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
6,candidate_pool_review,late,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
7,candidate_pool_review,early,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
7,candidate_pool_review,middle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
7,candidate_pool_review,late,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
8,candidate_pool_review,early,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
8,candidate_pool_review,middle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
8,candidate_pool_review,late,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
8,approved_roadsign_memory_selected,early,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
8,approved_roadsign_memory_selected,middle,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
8,approved_roadsign_memory_selected,late,TBD,TBD,TBD,TBD,TBD,TBD,TBD,template_only,,,,
