trial_id,random_memory_source,selected_seed,score,notes
random_trial_0,"6,7,8",1,0.911792,"random_memory_ids=6,7,8"
random_trial_1,"0,10,11",7,0.930566,"random_memory_ids=0,10,11"
random_trial_2,"6,10,11",1,0.911792,"random_memory_ids=6,10,11"
random_trial_3,"6,7,11",1,0.911792,"random_memory_ids=6,7,11"
random_trial_4,"2,8,11",1,0.927810,"random_memory_ids=2,8,11"
random_trial_5,"0,6,8",1,0.935436,"random_memory_ids=0,6,8"
random_trial_6,"1,8,11",7,0.925980,"random_memory_ids=1,8,11"
random_trial_7,"0,3,5",1,0.944455,"random_memory_ids=0,3,5"
random_trial_8,"0,4,11",7,0.939621,"random_memory_ids=0,4,11"
random_trial_9,"5,6,7",1,0.923819,"random_memory_ids=5,6,7"
