strategy,seed,score,rank,selected,candidate_path
approved_roadsign_memory,1,0.792035,2,0,outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed1.mp4
approved_roadsign_memory,2,0.790165,3,0,outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed2.mp4
approved_roadsign_memory,3,0.776860,4,0,outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed3.mp4
approved_roadsign_memory,4,0.768160,6,0,outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed4.mp4
approved_roadsign_memory,5,0.764382,7,0,outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed5.mp4
approved_roadsign_memory,6,0.768566,5,0,outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed6.mp4
approved_roadsign_memory,7,0.758504,8,0,outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed7.mp4
approved_roadsign_memory,8,0.799019,1,1,outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed8.mp4
auto_landmark_memory,1,0.821599,3,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed1.mp4
auto_landmark_memory,2,0.814338,6,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed2.mp4
auto_landmark_memory,3,0.815718,5,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed3.mp4
auto_landmark_memory,4,0.808939,8,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed4.mp4
auto_landmark_memory,5,0.822559,2,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed5.mp4
auto_landmark_memory,6,0.836442,1,1,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed6.mp4
